"dataset","tier","method","site_set","F1_mean","F1_median","F1_Q25","F1_Q75","TLE_mean","n_detected_mean","failure_rate","n_reps"
"GISAID_US","long","e_agglo","full",0.3567,0.3333,0.2857,0.5,0.879,1.9874,0,1667
"GISAID_US","long","hdcp_binseg","full",0.3546,0.4,0.2857,0.5,0.9832,1.1818,0,1667
"GISAID_US","long","hdcp_wbs","full",0,0,0,0,NA,0,0,1667
"GISAID_US","long","ks_cp3o_dynamic","full",0.4478,0.4444,0.3333,0.5455,0.7837,3.4931,0,1667
"GISAID_US","long","ks_cp3o_K1","full",0.1373,0,0,0.3333,1,1,0,1667
"GISAID_US","long","ks_cp3o_K10","full",0.4478,0.4444,0.3333,0.5455,0.7837,3.4931,0,1667
"GISAID_US","long","ks_cp3o_K2","full",0.1373,0,0,0.3333,1,1,0,1667
"GISAID_US","long","ks_cp3o_K3","full",0.3492,0.3333,0.2857,0.4,0.7448,2,0,1667
"GISAID_US","long","ks_cp3o_K5","full",0.4227,0.4,0.3333,0.5,0.7419,2.8602,0,1667
"GISAID_US","long","e_agglo","reduced",0.373,0.3333,0.2857,0.5,1,1.7067,0,1667
"GISAID_US","long","hdcp_binseg","reduced",0.3425,0.4,0.25,0.5,1,1.102,0,1667
"GISAID_US","long","hdcp_wbs","reduced",0,0,0,0,NA,0,0,1667
"GISAID_US","long","ks_cp3o_dynamic","reduced",0.4976,0.5,0.4,0.5714,0.7016,3.3419,0,1667
"GISAID_US","long","ks_cp3o_K1","reduced",0.1643,0,0,0.4,0.9531,1,0,1667
"GISAID_US","long","ks_cp3o_K10","reduced",0.4976,0.5,0.4,0.5714,0.7016,3.3419,0,1667
"GISAID_US","long","ks_cp3o_K2","reduced",0.1643,0,0,0.4,0.9531,1,0,1667
"GISAID_US","long","ks_cp3o_K3","reduced",0.3404,0.3333,0.2857,0.4,0.863,2,0,1667
"GISAID_US","long","ks_cp3o_K5","reduced",0.4821,0.5,0.4,0.5714,0.7129,3.1272,0,1667
"GISAID_US","medium","e_agglo","full",0.4664,0.4,0.3333,0.8,0.6306,2.5531,0,1667
"GISAID_US","medium","hdcp_binseg","full",0.0853,0,0,0,1,0.3425,0.6575,1667
"GISAID_US","medium","hdcp_wbs","full",0,0,0,0,NA,0,0.6575,1667
"GISAID_US","medium","ks_cp3o_dynamic","full",0.5093,0.5,0.4,0.6667,0.8627,1.6887,0,1667
"GISAID_US","medium","ks_cp3o_K1","full",0.2718,0.3333,0,0.5,0.9675,1,0,1667
"GISAID_US","medium","ks_cp3o_K10","full",0.5093,0.5,0.4,0.6667,0.8627,1.6887,0,1667
"GISAID_US","medium","ks_cp3o_K2","full",0.2718,0.3333,0,0.5,0.9675,1,0,1667
"GISAID_US","medium","ks_cp3o_K3","full",0.5093,0.5,0.4,0.6667,0.8627,1.6887,0,1667
"GISAID_US","medium","ks_cp3o_K5","full",0.5093,0.5,0.4,0.6667,0.8627,1.6887,0,1667
"GISAID_US","medium","e_agglo","reduced",0.3911,0.4,0,0.5714,0.9365,1.7942,0,1667
"GISAID_US","medium","hdcp_binseg","reduced",0.0715,0,0,0,1,0.3149,0.6575,1667
"GISAID_US","medium","hdcp_wbs","reduced",0,0,0,0,NA,0,0.6575,1667
"GISAID_US","medium","ks_cp3o_dynamic","reduced",0.4746,0.5,0.4,0.5714,0.8832,1.6887,0,1667
"GISAID_US","medium","ks_cp3o_K1","reduced",0.2849,0.4,0,0.5,0.9591,1,0,1667
"GISAID_US","medium","ks_cp3o_K10","reduced",0.4746,0.5,0.4,0.5714,0.8832,1.6887,0,1667
"GISAID_US","medium","ks_cp3o_K2","reduced",0.2849,0.4,0,0.5,0.9591,1,0,1667
"GISAID_US","medium","ks_cp3o_K3","reduced",0.4746,0.5,0.4,0.5714,0.8832,1.6887,0,1667
"GISAID_US","medium","ks_cp3o_K5","reduced",0.4746,0.5,0.4,0.5714,0.8832,1.6887,0,1667
"GISAID_US","short","e_agglo","full",0.7946,0.8,0.6667,1,0.76,1.955,0,1667
"GISAID_US","short","hdcp_binseg","full",0,0,0,0,NA,0,1,1667
"GISAID_US","short","hdcp_wbs","full",0,0,0,0,NA,0,1,1667
"GISAID_US","short","ks_cp3o_dynamic","full",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K1","full",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K10","full",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K2","full",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K3","full",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K5","full",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","e_agglo","reduced",0.7142,0.6667,0.5,0.8,0.871,1.6407,0,1667
"GISAID_US","short","hdcp_binseg","reduced",0,0,0,0,NA,0,1,1667
"GISAID_US","short","hdcp_wbs","reduced",0,0,0,0,NA,0,1,1667
"GISAID_US","short","ks_cp3o_dynamic","reduced",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K1","reduced",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K10","reduced",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K2","reduced",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K3","reduced",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"GISAID_US","short","ks_cp3o_K5","reduced",0.2211,0,0,0.5,0.879,0.4163,0.225,1667
"NCBI_US","long","e_agglo","full",0.3333,0.3333,0.3333,0.3333,1,1.5057,0,1667
"NCBI_US","long","hdcp_binseg","full",0.367,0.4,0.3333,0.4,1,1,0,1667
"NCBI_US","long","hdcp_wbs","full",0,0,0,0,NA,0,0,1667
"NCBI_US","long","ks_cp3o_dynamic","full",0.6196,0.6667,0.5714,0.6667,0.7534,2,0,1667
"NCBI_US","long","ks_cp3o_K1","full",0.367,0.4,0.3333,0.4,0.5063,1,0,1667
"NCBI_US","long","ks_cp3o_K10","full",0.6196,0.6667,0.5714,0.6667,0.7534,2,0,1667
"NCBI_US","long","ks_cp3o_K2","full",0.367,0.4,0.3333,0.4,0.5063,1,0,1667
"NCBI_US","long","ks_cp3o_K3","full",0.6196,0.6667,0.5714,0.6667,0.7534,2,0,1667
"NCBI_US","long","ks_cp3o_K5","full",0.6196,0.6667,0.5714,0.6667,0.7534,2,0,1667
"NCBI_US","long","e_agglo","reduced",0.4209,0.3333,0.3333,0.5714,1,1.8734,0,1667
"NCBI_US","long","hdcp_binseg","reduced",0.367,0.4,0.3333,0.4,1,1,0,1667
"NCBI_US","long","hdcp_wbs","reduced",0,0,0,0,NA,0,0,1667
"NCBI_US","long","ks_cp3o_dynamic","reduced",0.6297,0.5714,0.5714,0.75,0.8954,2.6185,0,1667
"NCBI_US","long","ks_cp3o_K1","reduced",0.367,0.4,0.3333,0.4,0.8608,1,0,1667
"NCBI_US","long","ks_cp3o_K10","reduced",0.6297,0.5714,0.5714,0.75,0.8954,2.6185,0,1667
"NCBI_US","long","ks_cp3o_K2","reduced",0.367,0.4,0.3333,0.4,0.8608,1,0,1667
"NCBI_US","long","ks_cp3o_K3","reduced",0.6196,0.6667,0.5714,0.6667,0.8743,2,0,1667
"NCBI_US","long","ks_cp3o_K5","reduced",0.6297,0.5714,0.5714,0.75,0.8954,2.6185,0,1667
"NCBI_US","medium","e_agglo","full",0.5892,0.5714,0.4,0.8571,0.6645,2.5951,0,1667
"NCBI_US","medium","hdcp_binseg","full",0.0999,0,0,0.3333,1,0.3341,0.6659,1667
"NCBI_US","medium","hdcp_wbs","full",0,0,0,0,NA,0,0.6659,1667
"NCBI_US","medium","ks_cp3o_dynamic","full",0.5789,0.5714,0.5,0.6667,0.8308,1.6635,0,1667
"NCBI_US","medium","ks_cp3o_K1","full",0.4201,0.4,0.3333,0.5,0.871,1,0,1667
"NCBI_US","medium","ks_cp3o_K10","full",0.5789,0.5714,0.5,0.6667,0.8308,1.6635,0,1667
"NCBI_US","medium","ks_cp3o_K2","full",0.4201,0.4,0.3333,0.5,0.871,1,0,1667
"NCBI_US","medium","ks_cp3o_K3","full",0.5789,0.5714,0.5,0.6667,0.8308,1.6635,0,1667
"NCBI_US","medium","ks_cp3o_K5","full",0.5789,0.5714,0.5,0.6667,0.8308,1.6635,0,1667
"NCBI_US","medium","e_agglo","reduced",0.5267,0.5714,0.4,0.6667,0.8004,1.781,0,1667
"NCBI_US","medium","hdcp_binseg","reduced",0.1278,0,0,0.3333,1,0.3341,0.6659,1667
"NCBI_US","medium","hdcp_wbs","reduced",0,0,0,0,NA,0,0.6659,1667
"NCBI_US","medium","ks_cp3o_dynamic","reduced",0.5341,0.5714,0.4,0.6667,0.825,1.6635,0,1667
"NCBI_US","medium","ks_cp3o_K1","reduced",0.3977,0.4,0.3333,0.5,0.7629,1,0,1667
"NCBI_US","medium","ks_cp3o_K10","reduced",0.5341,0.5714,0.4,0.6667,0.825,1.6635,0,1667
"NCBI_US","medium","ks_cp3o_K2","reduced",0.3977,0.4,0.3333,0.5,0.7629,1,0,1667
"NCBI_US","medium","ks_cp3o_K3","reduced",0.5341,0.5714,0.4,0.6667,0.825,1.6635,0,1667
"NCBI_US","medium","ks_cp3o_K5","reduced",0.5341,0.5714,0.4,0.6667,0.825,1.6635,0,1667
"NCBI_US","short","e_agglo","full",0.7946,0.8,0.6667,1,0.7073,2.036,0,1667
"NCBI_US","short","hdcp_binseg","full",0,0,0,0,NA,0,1,1667
"NCBI_US","short","hdcp_wbs","full",0,0,0,0,NA,0,1,1667
"NCBI_US","short","ks_cp3o_dynamic","full",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K1","full",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K10","full",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K2","full",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K3","full",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K5","full",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","e_agglo","reduced",0.7777,0.8,0.6667,0.8,0.7331,1.9226,0,1667
"NCBI_US","short","hdcp_binseg","reduced",0,0,0,0,NA,0,1,1667
"NCBI_US","short","hdcp_wbs","reduced",0,0,0,0,NA,0,1,1667
"NCBI_US","short","ks_cp3o_dynamic","reduced",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K1","reduced",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K10","reduced",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K2","reduced",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K3","reduced",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
"NCBI_US","short","ks_cp3o_K5","reduced",0.2575,0,0,0.5,0.8186,0.4697,0.1824,1667
